"","SRR8507541.count","SRR8507542.count","SRR8507543.count","SRR8507544.count","SRR8507545.count","SRR8507546.count","SRR8507547.count","SRR8507548.count","SRR8507549.count","SRR8507550.count","SRR8507551.count","SRR8507552.count"
"hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7a-3p",0,0,17.2108152763196,0,0,0,0,0,0,0,0,0
"hsa-let-7a-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7b-5p",0,0,0,0,0,0,0,0,0,13.6163723260849,0,0
"hsa-let-7c-3p",0,0,0,0,0,9.39311109232489,0,0,0,0,0,0
"hsa-let-7c-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7d-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7d-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7e-3p",7346.5753085809,8068.16468104358,7245.75323133057,5896.78474583566,2955.0281651122,4489.9071021313,2871.87341876017,3400.25247383638,7924.09628637489,6957.96625862938,5704.46850032525,4276.47517327098
"hsa-let-7e-5p",2523.06626759344,2111.29543055346,1789.92478873724,2001.46343563035,4115.93208712056,6838.18487521252,5716.39566210358,5334.52783320438,1608.76364643116,1511.41732819542,1084.18260971094,1158.6509090143
"hsa-let-7f-1-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7f-2-3p",13011.1064387662,11260.2422962851,9001.25638951517,8845.1771187535,6569.66083136551,8096.86176158405,11938.7880694173,13315.9587897544,2102.61667277747,2090.11315205403,7305.72281620603,7036.17097474141
"hsa-let-7f-5p",0,0,0,0,0,0,13.6755877083818,0,0,0,0,0
"hsa-let-7g-3p",0,0,0,0,0,0,0,0,7.48262161130774,27.2327446521698,0,0
"hsa-let-7g-5p",0,0,0,0,0,0,0,0,0,0,33.3594649141828,0
"hsa-let-7i-3p",1038.9096395973,1131.05112351078,1376.86522210557,1097.57672276503,765.141221323694,1343.21488620246,1066.69584125378,977.318076312253,2027.7904566644,2117.3458967062,1534.53538605241,1348.24833048937
"hsa-let-7i-5p",98.9437751997427,175.941285879455,51.6324458289589,64.5633366332372,79.1525401369339,122.110444200224,82.0535262502906,81.4431730260211,14.9652432226155,40.8491169782546,83.3986622854569,21.0663801638964
"hsa-miR-1-3p",4452.46988398842,3770.17041170261,3287.26571777705,3034.47682176215,2928.64398506655,3456.66488197556,3924.89367230557,3807.46833896649,643.505458572465,462.956659086886,2635.39772822044,2001.30611557016
"hsa-miR-1-5p",692.606426398199,779.168551751872,688.432611052786,710.196702965609,1068.55929184861,1136.56644217131,1176.10054292083,977.318076312253,890.431971745621,748.900477934669,700.548763197838,463.460363605722
"hsa-miR-100-3p",1311.00502139659,1608.60604232645,1221.96788461869,1398.87229372014,3232.06205559147,2893.07821643607,2488.95696292548,1934.275359368,1129.87586330747,1266.32262632589,900.705552682935,947.98710737534
"hsa-miR-100-5p",1261.53313379672,1558.33710350374,2237.40598592155,1721.68897688633,1028.98302178014,1502.89777477198,1217.12730604598,1262.36918190333,5365.03969530765,7080.51360956414,3335.94649141828,3202.08978491226
"hsa-miR-101-2-5p",0,0,0,21.5211122110791,0,0,0,0,0,0,0,0
"hsa-miR-101-3p",140203.329458035,157115.568290353,166703.956766432,170468.729823957,68308.6421381739,37675.7685913151,34380.4274988718,38156.1265626909,123096.608127624,57447.4748437521,116774.806932097,118751.184983884
"hsa-miR-101-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10226",0,0,0,21.5211122110791,0,0,0,0,0,0,0,0
"hsa-miR-10392-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10392-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10393-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10393-5p",0,25.1344694113507,34.4216305526393,21.5211122110791,0,9.39311109232489,0,0,22.4478648339232,20.4245584891273,50.0391973712742,0
"hsa-miR-10394-3p",24.7359437999357,0,17.2108152763196,0,0,0,0,0,14.9652432226155,34.0409308152122,16.6797324570914,0
"hsa-miR-10394-5p",0,25.1344694113507,0,0,0,0,0,0,7.48262161130774,0,0,0
"hsa-miR-10395-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10395-5p",0,0,0,21.5211122110791,0,0,0,0,0,0,0,0
"hsa-miR-10396a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10396a-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10396b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10396b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10397-3p",0,25.1344694113507,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10397-5p",24.7359437999357,0,0,0,13.1920900228223,9.39311109232489,0,20.3607932565053,7.48262161130774,0,0,0
"hsa-miR-10398-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10398-5p",1187.32530239691,1231.58900115619,1221.96788461869,1291.26673266474,2321.80784401673,1859.83599628033,1613.71934958905,1608.50266726392,1197.21945780924,1490.99276970629,1167.5812719964,1263.98280983379
"hsa-miR-10399-3p",0,25.1344694113507,0,0,0,9.39311109232489,13.6755877083818,0,0,0,0,0
"hsa-miR-10399-5p",74.2078313998071,100.537877645403,68.8432611052786,150.647785477553,26.3841800456446,112.717333107899,109.404701667054,20.3607932565053,22.4478648339232,0,16.6797324570914,42.1327603277929
"hsa-miR-103a-1-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-103a-2-5p",346.3032131991,301.613632936209,292.583859697434,279.774458744028,527.683600912893,591.765998816468,437.618806668217,631.184590951663,209.513405116617,81.6982339565093,66.7189298283655,210.663801638964
"hsa-miR-103a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-103b",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10400-3p",0,0,0,0,0,18.7862221846498,0,0,0,0,0,0
"hsa-miR-10400-5p",0,0,0,0,0,0,0,0,7.48262161130774,0,0,0
"hsa-miR-10401-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10401-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-105-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-105-5p",0,0,0,0,0,9.39311109232489,0,20.3607932565053,0,0,0,0
"hsa-miR-10522-5p",0,0,0,0,0,9.39311109232489,0,0,0,0,0,0
"hsa-miR-10523-5p",24.7359437999357,25.1344694113507,68.8432611052786,0,13.1920900228223,9.39311109232489,13.6755877083818,0,0,0,0,21.0663801638964
"hsa-miR-10524-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10525-3p",0,0,0,0,0,0,0,0,0,13.6163723260849,0,0
"hsa-miR-10526-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10527-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-106a-3p",0,0,0,0,0,0,13.6755877083818,0,7.48262161130774,20.4245584891273,0,0
"hsa-miR-106a-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-106b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-106b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-107",1261.53313379672,1080.78218468808,1548.97337486877,1054.53449834287,685.98868118676,648.124665370417,1039.34466583701,814.431730260211,119.721945780924,149.780095586934,183.477057028005,463.460363605722
"hsa-miR-10a-3p",0,0,0,0,0,0,0,0,14.9652432226155,0,0,0
"hsa-miR-10a-5p",0,0,0,0,0,0,13.6755877083818,20.3607932565053,0,0,0,0
"hsa-miR-10b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-11181-3p",24.7359437999357,0,0,0,0,0,0,20.3607932565053,0,0,0,0
"hsa-miR-11181-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-11399",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-11400",0,0,0,0,0,18.7862221846498,13.6755877083818,0,0,0,0,0
"hsa-miR-11401",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1178-3p",1063.64558339723,703.76514351782,946.59484019758,839.323376232084,1332.40109230505,1512.29088586431,1476.96347250523,1588.14187400741,1204.70207942055,1293.55537097806,984.104214968392,1221.85004950599
"hsa-miR-1178-5p",222.623494199421,226.210224702157,189.318968039516,365.858907588344,554.067780958537,488.441776800894,574.374683752034,549.741417925642,194.548161894001,149.780095586934,150.117592113822,189.597421475068
"hsa-miR-1179",0,25.1344694113507,0,0,0,0,0,0,0,6.80818616304244,0,0
"hsa-miR-1180-3p",173.15160659955,276.479163524858,395.848751355352,387.380019799423,158.305080273868,291.186443862072,328.214105001162,142.525552795537,2027.7904566644,2321.59148159747,934.065017597118,990.119867703133
"hsa-miR-1180-5p",0,25.1344694113507,17.2108152763196,0,26.3841800456446,9.39311109232489,27.3511754167635,20.3607932565053,97.2740809470006,74.8900477934669,50.0391973712742,42.1327603277929
"hsa-miR-1181",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1182",0,0,0,0,0,9.39311109232489,0,0,0,13.6163723260849,0,0
"hsa-miR-1183",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1184",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1185-1-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1185-2-3p",0,0,0,0,0,0,0,0,7.48262161130774,0,0,0
"hsa-miR-1185-5p",0,25.1344694113507,17.2108152763196,0,13.1920900228223,18.7862221846498,13.6755877083818,20.3607932565053,7.48262161130774,0,0,0
"hsa-miR-1193",0,0,0,0,0,0,0,0,0,6.80818616304244,16.6797324570914,0
"hsa-miR-1197",0,0,0,0,26.3841800456446,0,13.6755877083818,0,0,0,16.6797324570914,0
"hsa-miR-1199-3p",0,0,17.2108152763196,0,26.3841800456446,9.39311109232489,0,20.3607932565053,0,0,0,0
"hsa-miR-1199-5p",0,25.1344694113507,0,0,13.1920900228223,9.39311109232489,0,20.3607932565053,0,0,0,0
"hsa-miR-1200",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1202",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1203",24.7359437999357,0,0,0,13.1920900228223,9.39311109232489,13.6755877083818,61.0823797695158,0,0,0,0
"hsa-miR-1204",49.4718875998714,0,51.6324458289589,21.5211122110791,13.1920900228223,75.1448887385991,68.3779385419088,20.3607932565053,89.7914593356928,136.163723260849,50.0391973712742,63.1991404916893
"hsa-miR-1205",445.246988398842,351.88257175891,585.167719394868,344.337795377265,408.954790707492,375.724443692996,314.538517292781,366.494278617095,598.609728904619,694.434988630329,567.110903541107,379.194842950136
"hsa-miR-1206",0,0,0,0,0,9.39311109232489,0,0,0,0,0,0
"hsa-miR-1207-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1207-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1208",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12113",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12114",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12115",1731.5160659955,1684.0094505605,1772.71397346092,1721.68897688633,2836.2993549068,3437.87865979091,3282.14105001162,2789.42867614122,3801.17177854433,3853.43336828202,2668.75719313462,2738.62942130654
"hsa-miR-12116",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12117",0,0,0,0,13.1920900228223,0,0,0,7.48262161130774,0,16.6797324570914,0
"hsa-miR-12118",0,25.1344694113507,0,0,0,0,0,0,0,0,16.6797324570914,0
"hsa-miR-12119",2572.53815519331,1784.5473282059,1617.81663597405,1527.99896698661,395.762700684669,619.945332093443,1107.72260437892,1689.94584028994,5170.49153341365,8823.409267303,4236.65204410121,5961.78558638269
"hsa-miR-12120",24.7359437999357,0,0,0,0,0,13.6755877083818,0,14.9652432226155,68.0818616304244,50.0391973712742,21.0663801638964
"hsa-miR-12121",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12122",3537.2399633908,2287.23671643292,3080.73593446122,3486.42017819481,2955.0281651122,3146.69221592884,3063.33164667752,3502.05644011891,2865.84407713086,2750.50720986915,2301.80307907861,1853.84145442289
"hsa-miR-12123",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12124",98.9437751997427,50.2689388227015,86.0540763815982,107.605561055395,39.5762700684669,18.7862221846498,41.0267631251453,0,14.9652432226155,6.80818616304244,0,0
"hsa-miR-12125",593.662651198457,578.092796461067,447.481197184311,408.901132010502,620.028231072649,760.841998478316,793.184087086143,773.7101437472,800.640512409928,680.818616304244,717.22849565493,463.460363605722
"hsa-miR-12126",24.7359437999357,25.1344694113507,0,0,0,65.7517776462742,0,0,7.48262161130774,0,16.6797324570914,21.0663801638964
"hsa-miR-12127",0,0,34.4216305526393,0,13.1920900228223,18.7862221846498,0,0,14.9652432226155,0,0,0
"hsa-miR-12128",0,0,0,0,0,0,0,0,14.9652432226155,0,0,0
"hsa-miR-12129",2201.49899819428,1859.95073643995,2168.56272481627,2410.36456764086,2677.99427463293,3127.90599374419,3692.40868126308,3502.05644011891,2656.33067201425,2954.75279476042,2235.08414925025,2464.76647917588
"hsa-miR-12130",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12131",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12132",0,0,17.2108152763196,0,0,0,0,0,0,0,0,0
"hsa-miR-12133",24.7359437999357,50.2689388227015,68.8432611052786,21.5211122110791,0,9.39311109232489,0,20.3607932565053,0,6.80818616304244,0,0
"hsa-miR-12135",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12136",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-122-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-122-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1224-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1224-5p",0,0,0,0,0,0,0,0,0,0,0,0
